Subject,Course Number,Name,Credits
PSY,3200,Psychology of Culture,3
PSY,3250,Introduction to Psychology of Gender,3
PSY,4999,Engaged Learning in Psychology: Variable Topic 1-6 Credit(s) (Study Abroad; must be at least 3 credit hours),1
