Major Code,Major Name Registrar,Major Name Web,2018 (2024),2019 (2025),2020 (2026),2021 (2027),2022 (2028),2023 (2029),2024 (2030)
NURS,Major in Nursing BSN,,,OK,OK,OK,OK,OK,OK
HBSN,Health Professionals to BSN Concentration,Nursing - Health Professionals to BSN Emphasis (B.S.N.),,,,OK,OK,OK,OK
LPNB,LPN to BSN Concentration,,,,OK,,,,
PLIC,Pre-Licensure Concentration,Nursing - Pre-Licensure Emphasis (B.S.N.),,,OK,OK,OK,OK,OK
RNBS,RN to BSN Concentration,Nursing - RN to BSN Emphasis (B.S.N.),,,OK,OK,OK,OK,OK
RNMS,RN to MSN Concentration,,,,,,,OK,OK
ORPT,Major in Outdoor Recreation in Parks & Tourism,,,OK,OK,OK,OK,OK,OK
NNR,Natural Resource Recreation Concentration,Outdoor Recreation in Parks and Tourism - Natural Resource Recreation Emphasis (B.S.),,OK,OK,OK,OK,OK,OK
OE,Outdoor Education Concentration,Outdoor Recreation in Parks and Tourism - Outdoor Education Emphasis (B.S.),,OK,OK,OK,OK,OK,OK
ORT,Outdoor Recreation Tourism Concentration,Outdoor Recreation in Parks and Tourism - Tourism Emphasis (B.S.),,OK,OK,OK,OK,OK,OK
PDET,Pre-Dietetics,,,,,,,OK,OK
PE,Major in Physical Education,,,,,,,OK,OK
COCH,Coaching Concentration,Physical Education - Coaching Emphasis (B.S.),,,,,,OK,OK
TE,Teaching Concentration,Physical Education - Teaching Emphasis (B.S.),,,,,,OK,OK
PETC,Major in Physical Education Teaching/Coaching,,,OK,OK,OK,OK,,
PNUR,Pre-Nursing,,,OK,OK,OK,OK,OK,OK
ANTH,Major in Anthropology,"Anthropology (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
BGS,Major in General Studies BGS,General Studies (B.G.S.),,,,OK,OK,OK,OK
CJ,Major in Criminal Justice,"Criminal Justice (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
GEN,General Concentration,,,OK,,,,,
FRSC,Forensic Concentration,,,OK,,,,,
COMC,Major in Communication Composite,"Communication Composite (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
COMS,Communication Studies Concentration,,,OK,,,,,
MBMD,"New Media, Branding, and Message Design Concentration",,,,,,OK,OK,OK
MEDA,Media Studies Concentration,"Communication - Media Studies Emphasis (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
MHUI,Messaging & Human Interaction Concentration,"Communication - Messaging and Human Interaction Emphasis (B.A., B.S.)",,,OK,OK,OK,OK,OK
SMHI,Strategic Message & Human Interaction Concentration,,,,OK,OK,,,
SPCO,Sports Communication Concentration,"Communication - Sports Communication Emphasis (B.A., B.S.)",,,,,,OK,OK
STCO,Strategic Communication Concentration,"Communication - Strategic Communication Emphasis (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
ENGL,Major in English,,,OK,OK,OK,OK,OK,OK
CW,Creative Writing Concentration,English - Creative Writing Emphasis (B.A.),,OK,OK,OK,OK,OK,OK
LIT,Literature Concentration,English - Literature Emphasis (B.A.),,OK,OK,OK,OK,OK,OK
RHET,Rhetoric and Writing,English - Rhetoric and Writing Emphasis (B.A.),,OK,OK,OK,OK,OK,OK
ENGT,Major in English Education,English Education (B.A.),,OK,OK,OK,OK,OK,OK
FREN,Major in French,French (B.A.),,OK,OK,OK,OK,OK,OK
FRET,Major in French Education,French Education (B.A.),,OK,OK,OK,OK,OK,OK
GENS,Major in Exploratory Studies,,,OK,OK,OK,OK,OK,OK
GS,Major in General Studies BA/BS,"General Studies (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
HIST,Major in History,,,OK,OK,OK,OK,OK,OK
HSTT,Major in History Education,,,OK,OK,OK,OK,OK,OK
PHIL,Major in Philosophy,,,OK,OK,OK,OK,OK,OK
POSC,Major in Political Science,,,OK,OK,OK,OK,OK,OK
PSY,Major in Psychology,,,OK,OK,OK,OK,OK,OK
HSER,Human Services Concentration,,,OK,OK,OK,OK,OK,OK
SOC,Major in Sociology,,,OK,OK,OK,OK,OK,OK
SOSC,Major in Social Science Teaching Comp,,,OK,OK,OK,OK,OK,
SPAN,Major in Spanish,,,OK,OK,OK,OK,OK,OK
SPAT,Major in Spanish Education,,,OK,OK,OK,OK,OK,OK
SSEC,Major in Social Studies Education Composite,,,,,,,,OK
USLI,Major in Interdisciplinary Studies,,,OK,OK,OK,OK,OK,OK
ART,Major in Art,,,OK,OK,OK,OK,OK,OK
ARTH,Major in Art History,,,OK,OK,OK,OK,OK,OK
ARTT,Major in Art Education,,,OK,OK,OK,OK,OK,OK
COMU,Major in Commercial Music,,,,,,OK,OK,OK
