Subject,Course Number,Name,Credits
EDUC,2100,Principles of Curriculum and Instruction,3
EDUC,2200,Educational Psychology,3
EDUC,2400,"Schools, Society, and Diversity",3
SPED,2030,Educating Exceptional Students,3
SCED,3180,Instructional Technology for Teaching and Learning 2-3 Credit(s),2
SCED,3720,Content Area Literacy and Utah Core,2
